name,gender,weight,snatch1,snatch2,snatch3,cj1,cj2,cj3
Brittany McKenzie,F,71,-65,65,68,82,86,-89
Derek Lukacs,M,81,80,-83,-85,97,102,107
Emily Prostko,F,64,65,-67,-67,77,-79,79
Hannah Swirple,F,76,-70,-70,-70,75,78,81
Hinto Rago,M,96,81,84,87,97,102,-107
Jeremiah DeKam,M,81,88,91,94,-117,-119,119
Jessica Miletic,F,71,68,-70,-70,80,83,86
Julia Wolmer,F,64,44,46,48,57,59,-61
Junjie Guo,M,81,80,84,87,-100,100,-105
Katherine Wolff,F,71,-51,51,53,66,69,-72
Maria Rosala,F,55,59,-61,-61,74,77,-80
Samantha Luckham,F,49,41,43,45,-56,-58,58
Sean Guo,M,73,82,85,87,101,105,108
